Year,State,<1 month,1-5  mos ,6-11 mos ,12-17 mos ,18-23 mos ,24-29 mos ,30-35 mos ,3-4 yrs,5+ years,Total # Children,Missing Data,Mean,Median
2016,Alabama,1.2,51.7,23.3,10.5,2.4,3.8,3.4,2.2,1.6,503,0,9.8,5
2016,Alaska,24.7,26,22.4,12.8,7.7,2.2,0.6,3.2,0.3,312,1,8.4,5
2016,Arizona,0.3,38.1,41.3,12.1,4.2,1.8,1.1,1,0.1,"3,634",20,8.6,7
2016,Arkansas,0.4,33.2,36,16.4,6.9,2.4,0.9,3,0.8,758,0,10.6,8
2016,California,0.7,24.6,38.3,19.9,9.1,3.4,1.9,1.7,0.4,"6,528",14,11.3,9
2016,Colorado,0.2,20.4,42.5,20.8,8.4,2.7,1.4,2.2,1.4,809,30,12.1,9
2016,Connecticut,1.4,36.3,36.9,12.3,2.5,2.5,2,4.1,2,512,17,11.4,7
2016,Delaware,1,34.3,40.4,15.2,6.1,3,0,0,0,99,0,8.5,8
2016,District of Columbia,17.3,48.2,23.6,5.5,0.9,0.9,0.9,0.9,1.8,110,0,6.5,3
2016,Florida,0.5,38.3,33.5,14.6,5,3.4,1.9,2,0.8,"3,505",68,10.2,7
2016,Georgia,0.7,26.9,37.3,17.1,7.9,4.3,1.6,2.7,1.5,"1,094",27,12.2,9
2016,Hawaii,11.9,39.7,30.2,8.7,3.2,1.6,0,0,4.8,126,3,10.3,5
2016,Idaho,0,22.2,45.4,24.9,2.7,2.2,0.5,1.6,0.5,185,0,10.1,8
2016,Illinois,0.2,7.2,35.9,27.4,11.9,5.4,3.9,6.5,1.6,"1,489",57,16.5,13
2016,Indiana,6.7,17.9,29.9,21.7,9.3,5,3,5.3,1,"1,444",92,13.3,10
2016,Iowa,0.2,38.9,41.4,12.2,4.4,1.2,0.4,0.6,0.6,929,63,8.6,6
2016,Kansas,2.2,13.4,34.5,23.2,12.1,4.8,2.2,6.4,1.2,866,4,15,11
2016,Kentucky,0,24.2,45.6,15.7,7.2,3.3,1.6,1.7,0.8,"1,104",0,11.1,8
2016,Louisiana,0.1,57.1,29.6,6.8,2.4,1.2,0.3,1.9,0.6,723,4,7.2,5
2016,Maine,0,7.1,37.9,27.7,15.5,6.6,1.8,2.3,1,393,6,15,13
2016,Maryland,3.3,52.6,23,12.7,3.9,2.2,0,1.7,0.6,361,0,7.8,5
2016,Massachusetts,0.2,16.9,37.9,18.6,9.1,6.5,4.4,5.3,1.1,657,12,14.8,11
2016,Michigan,0.1,10.7,46.4,23.8,7.5,6.3,1.7,2.7,0.8,"1,966",112,13.4,11
2016,Minnesota,0,13.3,42.3,23.7,6.9,6.8,2.2,4,0.7,894,5,13.6,11
2016,Mississippi,0,23.5,42,20.8,5.5,5.8,1.3,0.5,0.8,400,0,11.3,9
2016,Missouri,27.8,43.9,14,7.4,2.3,1.5,1,1.4,0.7,"1,541",50,5.8,3
2016,Montana,9.3,16.7,26.4,23.6,12.8,7,1.6,2.3,0.4,258,2,12.3,10
2016,Nebraska,10,38,29.7,12.7,4,0.8,1.7,2.1,0.8,471,12,8.5,6
2016,Nevada,0.4,44.9,34.8,10.3,3,3,0.5,2.8,0.3,790,6,8.5,6
2016,New Hampshire,2.4,53,24.1,9.6,4.8,6,0,0,0,83,2,7.4,5
2016,New Jersey,1.4,35.2,35.9,13.7,7.3,3.5,1.3,1.6,0.3,"1,179",6,9.9,7
2016,New Mexico,0,15.4,27.5,23,13.4,7.9,3.9,6.9,2,305,1,17.4,13
2016,New York,0.1,21.9,33.5,16.1,11,6.5,4.3,5,1.6,"1,921",62,14.7,10
2016,North Carolina,1.5,35.8,32.5,16.1,7.1,2.8,1.6,1.7,0.9,"1,495",6,10.3,7
2016,North Dakota,0.8,12.9,51.5,18.9,3,6.8,1.5,4.5,0,132,0,12.8,10
2016,Ohio,0.1,14.9,36.4,19.4,12,6.6,3.8,5.2,1.7,"1,447",2,15.7,11
2016,Oklahoma,0.9,38.1,35,12.6,6.3,2.1,1.4,2.3,1.3,"2,477",10,10.3,7
2016,Oregon,1.1,19.7,29.1,20.2,11.4,8.1,3.1,5.8,1.6,743,25,14.9,12
2016,Pennsylvania,0.6,40.9,31.9,17.3,4.9,2.2,0.7,1,0.5,"1,886",31,8.8,7
2016,Rhode Island,70.7,14.9,5.1,2.9,1.8,2.2,0,0.7,1.8,276,3,3.7,0
2016,South Carolina,1.2,25.6,35.6,16.4,7.6,3.9,4.2,4.4,1.2,433,0,13.1,9
2016,South Dakota,0,8.4,17.8,28,17.8,11.2,9.3,0,7.5,107,3,22.9,17
2016,Tennessee,1.6,58.2,19.3,11.2,4.5,3,0.7,1.7,0,"1,075",149,7.4,4
2016,Texas,0.1,22.4,36.8,20,8.6,4.6,2,3.7,1.8,"5,720",3,13.7,10
2016,Utah,3.2,63.3,18.4,5.9,4.8,1.4,1.3,1.1,0.6,630,2,6.9,3
2016,Vermont,0,46.8,37,8.8,1.9,0.9,0.9,2.3,1.4,216,0,8.5,6
2016,Virginia,0,14.6,32.1,23,10.1,10.6,3,4,2.6,623,4,16.3,12
2016,Washington,0.6,37.6,37.2,11,5.5,4.6,0.6,1.8,1,"1,386",1,9.9,7
2016,West Virginia,0,7,50.9,25,8.9,4.1,2,1.3,0.8,929,11,12.8,10
2016,Wisconsin,0.4,49.2,29.5,11.5,4.5,3,0.7,0.9,0.1,667,2,8,6
2016,Wyoming,9.4,60,14.1,5.9,1.2,3.5,1.2,2.4,2.4,85,4,8.4,3
2016,Total,2.1,29.2,35.2,16.9,7.2,3.9,1.9,2.7,1,"56,276",932,11.3,8
2015,Alabama,0.6,50.2,23.2,13.7,4.5,1.6,1,2,3.3,512,0,10.2,5
2015,Alaska,17.4,31.1,25.8,7.8,4.5,5,3.9,4.2,0.3,357,0,9.5,6
2015,Arizona,0.2,32.4,45.8,12.3,4.9,1.8,1,1.4,0.1,3201,35,9.1,7
2015,Arkansas,0.9,32.3,32,17.8,6.5,4.5,2.6,2.3,1.1,740,0,11.8,9
2015,California,0.7,26.4,38.7,19.1,8.1,3.6,1.6,1.6,0.4,6063,16,10.9,9
2015,Colorado,0.3,23,38.2,21.7,8.4,3,1,3.5,0.9,770,50,12.3,10
2015,Connecticut,1.5,34.9,38.9,11.8,5.9,1.1,2.4,2.6,0.9,542,31,12.1,7
2015,Delaware,1.3,44.3,31.6,11.4,5.1,2.5,1.3,2.5,0,79,0,8.9,6
2015,District of Columbia,1.9,61.2,24.3,2.9,3.9,0,0,1.9,3.9,103,3,8.7,4
2015,Florida,0.4,40,32.3,14.1,5.9,2.8,1.6,2.1,0.9,3303,128,10,7
2015,Georgia,0.6,23.6,36.4,19.5,9.4,4.6,2.1,2.4,1.4,863,49,12.4,9
2015,Hawaii,10.2,41.5,26.7,12.5,2.8,4,0,1.7,0.6,176,0,8.7,5
2015,Idaho,0.4,36.8,40.8,9.4,6.3,3.6,0.4,0.9,1.3,223,0,10,7
2015,Illinois,0.2,6.6,30.9,27.8,13.8,8,4.2,6.1,2.4,1760,28,17.8,14
2015,Indiana,10.8,21.5,25.1,20.1,8.9,4.8,3.1,3.6,2.1,1114,38,12.8,10
2015,Iowa,0.4,35.3,42.5,14.7,3.6,1.6,0.7,0.7,0.4,979,38,8.7,7
2015,Kansas,1.5,14.1,34.1,23.3,10.4,7.7,3.2,4.5,1.3,782,1,14.9,12
2015,Kentucky,0.2,24.6,42.8,18.4,6.6,2.5,1.9,2,1,958,3,11.5,9
2015,Louisiana,0.2,40.8,43.4,8.2,3.2,1.7,0.9,1.7,0.2,662,0,8.3,6
2015,Maine,0,11.4,36.7,30.2,9.3,6.5,3.4,2.2,0.3,324,4,13.8,12
2015,Maryland,2.4,64,17.5,5.8,4.1,2.4,2.1,1.4,0.3,292,2,6.9,3
2015,Massachusetts,0.2,21.2,36.3,13.9,9.8,7.7,3.8,5.9,1.3,612,11,14.9,9
2015,Michigan,0.1,10.7,46,26.7,7.4,4,1.8,2.1,1.1,1692,80,13,10
2015,Minnesota,0,17.7,33.9,25.9,10.8,4.8,2.5,3.4,1.1,734,1,14.1,11
2015,Mississippi,0.3,29.5,45.1,15.3,6.2,0.3,1.3,0.6,1.3,308,4,9.8,8
2015,Missouri,30.3,38.5,18.3,6.4,2.4,1.1,0.8,0.9,1.4,1311,46,6.2,2
2015,Montana,11.3,14.6,29.1,23.8,11.6,6.3,2.6,0.3,0.3,302,8,11.4,10
2015,Nebraska,9.3,38.8,27.7,9.9,7.9,1.7,1.6,1.4,1.7,516,17,9.6,6
2015,Nevada,1.3,46.3,31.5,8.9,4.7,1.6,2.3,2.8,0.6,794,5,9.1,6
2015,New Hampshire,2.6,43.1,35.3,9.5,0.9,0.9,3.4,3.4,0.9,116,2,9.8,6
2015,New Jersey,0.8,33.1,36.7,15.1,7.3,3.1,1.6,1.6,0.6,1065,7,10.4,7
2015,New Mexico,0.7,19.5,32.8,18.4,15,4.4,2.7,4.8,1.7,293,2,14.3,11
2015,New York,0.3,20.1,35.3,18.4,9.1,7.9,2.6,4.8,1.6,1885,48,14.4,10
2015,North Carolina,1.8,37.8,32.2,15.6,6.8,2.3,0.8,1.6,1.1,1310,1,9.8,7
2015,North Dakota,0.8,23.5,34.1,19.7,12.9,6.1,2.3,0.8,0,132,1,11.7,10
2015,Ohio,0.2,17.2,31.8,20.5,10.7,7.4,4.8,4.6,2.7,1329,5,16.4,12
2015,Oklahoma,0.6,31.5,36.4,16,6.9,3.9,1.4,2.5,0.8,2145,14,10.9,8
2015,Oregon,0.2,13.2,36.1,23.7,11.1,6.3,4.8,3.8,0.7,819,16,14.6,12
2015,Pennsylvania,0.9,42.9,31.5,15.3,4.8,1.6,1,1.3,0.7,1821,11,9,6
2015,Rhode Island,71.4,16.7,6.2,0,1.4,0,1.4,1,1.9,210,1,4,0
2015,South Carolina,2,32.8,30.1,17.4,7.5,4.7,0.7,2.5,2.2,402,1,12,8
2015,South Dakota,1.7,11.6,26.4,31.4,7.4,5.8,4.1,7.4,4.1,121,0,18.2,13
2015,Tennessee,8.1,52,22.2,10.4,3.6,1.7,0.5,1.1,0.5,1033,80,6.8,4
